file,datetime,date,rmssd,sdnn,pnn50,mean_hr,mean_rr,intervals,duration_minutes,training_load_proxy,week,month,rmssd_7d_avg,rmssd_28d_avg,load_7d_sum,load_28d_avg,hrv_ratio_7d,hrv_ratio_28d,load_ratio,hrv_penalty,load_penalty,hr_penalty,fatigue_score,fatigue_label,hrv_support,fatigue_inverse,load_balance,readiness_score
22333218509_ACTIVITY.fit,2026-03-29 04:21:46+00:00,2026-03-29,33.825076533086154,40.477228710484745,13.580246913580247,67.26179832464477,892.036809815951,163,2.4233666666666664,1.6299999999999997,2026-03-23/2026-03-29,2026-03,,,,,,,,,,,0.0,fresh,,100.0,,35.0
demoHRV.fit,2026-03-29 04:21:46+00:00,2026-03-29,33.825076533086154,40.477228710484745,13.580246913580247,67.26179832464477,892.036809815951,163,2.4233666666666664,1.6299999999999997,2026-03-23/2026-03-29,2026-03,,,,,,,,,,,0.0,fresh,,100.0,,35.0
22344093739_ACTIVITY.fit,2026-03-30 01:16:26+00:00,2026-03-30,55.79280490037838,66.18541290989924,28.651685393258425,64.47933239275959,930.5307262569833,179,2.7760833333333332,1.79,2026-03-30/2026-04-05,2026-03,41.1476526555169,,5.049999999999999,,1.355917076667019,,,0.0,,0.0,0.0,fresh,67.79585383335095,100.0,,65.50813422500792
22345069658_ACTIVITY.fit,2026-03-30 05:52:54+00:00,2026-03-30,37.580225296468534,55.90418130623861,13.333333333333334,87.91905400463246,682.4459234608985,601,6.8358333333333325,6.01,2026-03-30/2026-04-05,2026-03,40.25579581575481,,11.059999999999999,,0.9335357688236499,,,6.646423117635014,,32.37711648592412,8.179779031706126,fresh,46.676788441182495,91.82022096829388,,53.14163213743498
medHRV.fit,2026-03-30 05:52:54+00:00,2026-03-30,37.580225296468534,55.90418130623861,13.333333333333334,87.91905400463246,682.4459234608985,601,6.8358333333333325,6.01,2026-03-30/2026-04-05,2026-03,39.72068171189755,39.72068171189755,17.07,3.414,0.9461122940700214,0.9461122940700214,0.7142857142857143,5.38877059299786,0.0,25.9016931887393,6.579639274809825,fresh,47.30561470350107,93.42036072519018,71.42857142857143,68.27036715610633
22355667121_ACTIVITY.fit,2026-03-31 04:17:39+00:00,2026-03-31,36.6710709123754,54.18454559975934,9.883720930232558,66.89049420346825,896.9884393063584,173,2.586316666666667,1.73,2026-03-30/2026-04-05,2026-03,39.21241324531052,39.21241324531052,18.799999999999997,3.133333333333333,0.9351903613522423,0.9351903613522423,0.8571428571428571,6.480963864775768,0.0,0.0,3.240481932387884,fresh,46.75951806761211,96.75951806761212,85.71428571428571,72.05047159694684
testHRV.fit,2026-03-31 04:17:39+00:00,2026-03-31,36.6710709123754,54.18454559975934,9.883720930232558,66.89049420346825,896.9884393063584,173,2.586316666666667,1.73,2026-03-30/2026-04-05,2026-03,38.84936434060551,38.84936434060551,20.529999999999998,2.9328571428571424,0.9439297536728715,0.9439297536728715,1.0,5.607024632712854,0.0,0.0,2.803512316356427,fresh,47.196487683643575,97.19648768364357,100.0,75.25719014691485
22367229737_ACTIVITY.fit,2026-04-01 03:27:44+00:00,2026-04-01,28.886988430064136,66.52545822599625,9.497206703910614,69.56656167268933,862.4833333333333,180,2.58745,1.8,2026-03-30/2026-04-05,2026-04,38.143923183030935,37.60406735178783,20.7,2.79125,0.7573156093947639,0.7681878707381569,1.0594331776597785,24.268439060523605,3.565990659586711,0.0,13.38231626111715,fresh,37.8657804697382,86.61768373888285,94.05668223402215,66.16712696679562
22378560692_ACTIVITY.fit,2026-04-02 04:32:15+00:00,2026-04-02,29.131683280583598,61.72080694819145,9.35672514619883,79.51244693391683,754.5988372093024,172,2.1631833333333335,1.72,2026-03-30/2026-04-05,2026-04,37.47343843267343,36.662691343876254,20.79,2.672222222222222,0.7773955233097429,0.7945866005128792,1.1114345114345114,22.26044766902571,6.686070686070686,9.54562603481449,14.902192479859767,fresh,38.869776165487146,85.09780752014024,88.85654885654886,65.04694167782807
22389196423_ACTIVITY.fit,2026-04-03 03:38:35+00:00,2026-04-03,45.014336636157324,78.77340606711144,21.22905027932961,63.14275524581826,950.2277777777778,180,2.8506833333333335,1.8000000000000003,2026-03-30/2026-04-05,2026-04,35.93365725207042,37.49785587310436,20.799999999999997,2.585,1.2527067957593907,1.2004509481419234,1.149488809063277,0.0,8.969328543796626,0.0,3.1392649903288192,fresh,62.635339787969535,96.86073500967117,85.05111909367228,79.09738397670566
